sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:14:54.616733,2022-09-16 11:14:54.616733,1663319694.616733,1663319694.616733,15.106396,15.106396,1e-06,1,0,42,0,42.0,,42.0,,42.0,,336000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:17,ff:ff:ff:ff:ff:ff,02:42:c0:a8:00:17,ff:ff:ff:ff:ff:ff,,,ARP,2022-09-16 11:14:54.616706,2022-09-16 11:14:54.616706,1663319694.616706,1663319694.616706,15.106369,15.106369,1e-06,1,0,42,0,42.0,,42.0,,42.0,,336000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:15:01.625052,2022-09-16 11:15:01.625052,1663319701.625052,1663319701.625052,22.114715,22.114715,1e-06,1,0,42,0,42.0,,42.0,,42.0,,336000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:15:06.758089,2022-09-16 11:15:06.758123,1663319706.758089,1663319706.758123,27.247752,27.247786,3.5e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,9639815.68,9639815.68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:14:59.844682,2022-09-16 11:14:59.844718,1663319699.844682,1663319699.844718,20.334345,20.334381,3.7e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,9080785.233,9080785.233,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:15:37.732934,2022-09-16 11:15:37.732985,1663319737.732934,1663319737.732985,58.222597,58.222648,5.2e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,12917717.082,12917717.082,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.1021575927734375e-05,3.886222839355469e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:16:04.868881,2022-09-16 11:16:04.868935,1663319764.868881,1663319764.868935,85.358544,85.358598,5.5e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,12191356.964,12191356.964,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.412101745605469e-05,4.100799560546875e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:16:43.780889,2022-09-16 11:16:43.780924,1663319803.780889,1663319803.780924,124.270552,124.270587,3.6e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,18642053.394,18642053.394,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.504753112792969e-05,2.5987625122070312e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:15:53.860789,2022-09-16 11:15:53.860846,1663319753.860789,1663319753.860846,74.350452,74.350509,5.8e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,11589795.656,11589795.656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.698204040527344e-05,4.315376281738281e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:17:44.964914,2022-09-16 11:17:44.964946,1663319864.964914,1663319864.964946,185.454577,185.454609,3.3e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,10197859.848,10197859.848,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:18:52.036850,2022-09-16 11:18:52.036885,1663319932.03685,1663319932.036885,252.526513,252.526548,3.6e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,18642053.394,18642053.394,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.504753112792969e-05,2.5033950805664062e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:18:14.917886,2022-09-16 11:18:14.917940,1663319894.917886,1663319894.91794,215.407549,215.407603,5.5e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,12244318.122,12244318.122,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.3882598876953125e-05,3.814697265625e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:19:53.989569,2022-09-16 11:19:53.989587,1663319993.989569,1663319993.989587,314.479232,314.47925,1.9e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,17573394.539,17573394.539,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:20:06.022936,2022-09-16 11:20:06.024816,1663320006.022936,1663320006.024816,326.512599,326.514479,0.001881,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,357269.98,357269.98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018210411071777,0.0018799304962158,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:20:49.028992,2022-09-16 11:20:49.032896,1663320049.028992,1663320049.032896,369.518655,369.522559,0.003905,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,172082.475,172082.475,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003904104232788,0.0038509368896484,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:21:15.141775,2022-09-16 11:21:15.141810,1663320075.141775,1663320075.14181,395.631438,395.631473,3.6e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,18642053.394,18642053.394,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.504753112792969e-05,2.5987625122070312e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:21:35.108842,2022-09-16 11:21:35.108955,1663320095.108842,1663320095.108955,415.598505,415.598618,0.000114,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,5894198.79,5894198.79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.601478576660156e-05,9.79900360107422e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:21:50.212726,2022-09-16 11:21:50.212764,1663320110.212726,1663320110.212764,430.702389,430.702427,3.9e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,8635633.165,8635633.165,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:22:05.317813,2022-09-16 11:22:05.317870,1663320125.317813,1663320125.31787,445.807476,445.807533,5.8e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,11589795.656,11589795.656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.698204040527344e-05,4.315376281738281e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:22:37.316873,2022-09-16 11:22:37.317146,1663320157.316873,1663320157.317146,477.806536,477.806809,0.000274,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,2452650.764,2452650.764,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002729892730712,0.0002319812774658,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:22:50.373762,2022-09-16 11:22:50.373812,1663320170.373762,1663320170.373812,490.863425,490.863475,5.1e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,13158950.707,13158950.707,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0067901611328125e-05,3.695487976074219e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:23:38.244896,2022-09-16 11:23:38.248879,1663320218.244896,1663320218.248879,538.734559,538.738542,0.003984,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,168673.819,168673.819,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039830207824707,0.0039370059967041,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:23:03.173071,2022-09-16 11:23:03.173106,1663320183.173071,1663320183.173106,503.662734,503.662769,3.6e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,9321026.697,9321026.697,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:24:33.284614,2022-09-16 11:24:33.284636,1663320273.284614,1663320273.284636,593.774277,593.774299,2.3e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,29300823.134,29300823.134,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.193450927734375e-05,1.621246337890625e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:24:11.269250,2022-09-16 11:24:11.269273,1663320251.26925,1663320251.269273,571.758913,571.758936,2.4e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,13926536.26,13926536.26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:25:11.429579,2022-09-16 11:25:11.429609,1663320311.429579,1663320311.429609,631.919242,631.919272,3.1e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,10824483.873,10824483.873,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:25:16.549132,2022-09-16 11:25:16.549161,1663320316.549132,1663320316.549161,637.038795,637.038824,3e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,11256791.235,11256791.235,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:27:14.565236,2022-09-16 11:27:14.565262,1663320434.565236,1663320434.565262,755.054899,755.054925,2.7e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,24900301.414,24900301.414,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.47955322265625e-05,2.5987625122070312e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:27:34.533076,2022-09-16 11:27:34.533293,1663320454.533076,1663320454.533293,775.022739,775.022956,0.000218,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,3083121.691,3083121.691,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002169609069824,0.0001978874206542,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:27:58.597974,2022-09-16 11:27:58.598240,1663320478.597974,1663320478.59824,799.087637,799.087903,0.000267,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,2518394.061,2518394.061,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002658367156982,0.0002119541168212,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:28:14.725451,2022-09-16 11:28:14.725480,1663320494.725451,1663320494.72548,815.215114,815.215143,3e-05,1,1,42,42,42.0,42.0,42.0,42.0,42.0,42.0,11167589.181,11167589.181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:30:06.852980,2022-09-16 11:30:06.853030,1663320606.85298,1663320606.85303,927.342643,927.342693,5.1e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,13158950.707,13158950.707,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0067901611328125e-05,3.4809112548828125e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:17,02:42:c0:a8:00:0b,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:31:00.869061,2022-09-16 11:31:00.869131,1663320660.869061,1663320660.869131,981.358724,981.358794,7.1e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,9452133.224,9452133.224,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.009506225585938e-05,2.5033950805664062e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:17,02:42:c0:a8:00:0c,02:42:c0:a8:00:17,,,ARP,2022-09-16 11:32:38.916849,2022-09-16 11:32:38.916897,1663320758.916849,1663320758.916897,1079.406512,1079.40656,4.9e-05,2,2,84,84,42.0,42.0,42.0,42.0,42.0,42.0,13669496.36,13669496.36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.8160552978515625e-05,3.600120544433594e-05,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
