sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:14:41.114354,2022-09-16 11:14:41.114354,1663319681.114354,1663319681.114354,1.604017,1.604017,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:14:57.115302,2022-09-16 11:14:57.115302,1663319697.115302,1663319697.115302,17.604965,17.604965,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:15:29.117496,2022-09-16 11:15:29.117496,1663319729.117496,1663319729.117496,49.607159,49.607159,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:16:33.118467,2022-09-16 11:16:33.118467,1663319793.118467,1663319793.118467,113.60813,113.60813,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:18:41.118043,2022-09-16 11:18:41.118043,1663319921.118043,1663319921.118043,241.607706,241.607706,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:22:57.119974,2022-09-16 11:22:57.119974,1663320177.119974,1663320177.119974,497.609637,497.609637,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:31:29.182723,2022-09-16 11:31:29.182723,1663320689.182723,1663320689.182723,1009.672386,1009.672386,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 11:48:33.250542,2022-09-16 11:48:33.250542,1663321713.250542,1663321713.250542,2033.740205,2033.740205,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 12:22:41.259835,2022-09-16 12:22:41.259835,1663323761.259835,1663323761.259835,4081.749498,4081.749498,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,replay,0,Normal
192.168.0.1,224.0.0.251,02:42:23:55:81:7e,01:00:5e:00:00:fb,192.168.0.1,224.0.0.251,IPV4-UDP,2022-09-16 13:22:41.358835,2022-09-16 13:22:41.358835,1663327361.358835,1663327361.358835,7681.848498,7681.848498,1e-06,1,0,73,0,73.0,,73.0,,73.0,,584000000.0,0.0,45,0,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
