sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.2.183,34.120.52.64,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,34.120.52.64,IPV4-TCP,2024-10-25 23:36:42.495545,2024-10-25 23:36:42.505723,1729892202.495545,1729892202.505723,0.0,0.010178,0.010179,1,2,71,107,71,67,71,40,71.0,53.5,55800.671,84093.968,31,27,31,27,31,0,31.0,13.5,,0.010178089141845703,128.0,124.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,1044.0,0.0,0.0,0.002,0.008,0.002,0.008,0.002095,0.008083
192.168.2.183,81.17.55.99,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,81.17.55.99,IPV4-TCP,2024-10-25 23:36:43.520044,2024-10-25 23:36:43.735505,1729892203.520044,1729892203.735505,1.024499,1.23996,0.215462,6,10,240,526,40,79,40,40,40.0,52.6,8911.083,19530.125,0,126,0,39,0,0,0.0,12.6,0.04096822738647461,0.023940112855699327,128.0,53.0,1.0,1.0,0.0,0.0,0.333,0.4,0.0,0.4,0.0,0.0,0.0,0.0,509.5,1004.0,0.0,0.0,0.001,0.01,0.0,0.009,0.000534,0.009784
162.159.135.234,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,162.159.135.234,192.168.2.183,IPV4-TCP,2024-10-25 23:36:43.787138,2024-10-25 23:36:43.828090,1729892203.787138,1729892203.82809,1.291593,1.332545,0.040953,1,1,311,40,311,40,311,40,311.0,40.0,60752.619,7813.842,271,0,271,0,271,0,271.0,0.0,,,59.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,511.0,0.0,0.0,,0.041,,0.041,,0.040952
192.168.2.183,192.168.2.25,98:2c:bc:16:7e:16,de:0d:62:55:c1:6d,192.168.2.183,192.168.2.25,IPV4-TCP,2024-10-25 23:36:44.947470,2024-10-25 23:36:45.316424,1729892204.94747,1729892205.316424,2.451925,2.820879,0.368955,2,1,190,150,150,150,40,150,95.0,150.0,4119.744,3252.43,110,110,110,110,0,110,55.0,110.0,0.3689539432525635,,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,507.5,1207.0,0.0,0.0,0.051,0.318,0.051,0.318,0.051142,0.317812
162.159.135.234,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,162.159.135.234,192.168.2.183,IPV4-TCP,2024-10-25 23:36:46.284890,2024-10-25 23:36:46.335001,1729892206.28489,1729892206.335001,3.789345,3.839456,0.050112,1,1,83,40,83,40,83,40,83.0,40.0,13250.305,6385.689,43,0,43,0,43,0,43.0,0.0,,,59.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,510.0,0.0,0.0,,0.05,,0.05,,0.050111
192.168.2.183,54.194.210.74,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,54.194.210.74,IPV4-TCP,2024-10-25 23:36:47.110691,2024-10-25 23:36:47.220655,1729892207.110691,1729892207.220655,4.615146,4.72511,0.109965,4,5,430,1122,222,878,40,40,107.5,224.4,31282.711,81626.051,270,922,182,838,0,0,67.5,184.4,0.014753977457682291,0.0210227370262146,128.0,247.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.6,0.0,0.0,0.0,0.0,511.0,425.0,0.0,0.0,0.002,0.066,0.0,0.026,0.000993,0.039062
192.168.2.183,40.115.3.253,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,40.115.3.253,IPV4-TCP,2024-10-25 23:36:47.302744,2024-10-25 23:36:47.346363,1729892207.302744,1729892207.346363,4.807199,4.850818,0.04362,2,2,135,428,83,214,52,214,67.5,214.0,24759.196,78495.822,43,348,43,174,0,174,21.5,174.0,0.04361915588378906,0.036112070083618164,128.0,114.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,512.0,7639.0,0.0,0.0,0.0,0.043,0.0,0.007,0.000124,0.025439
192.168.2.183,99.245.202.198,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,99.245.202.198,IPV4-UDP,2024-10-25 23:36:48.165307,2024-10-25 23:36:48.332173,1729892208.165307,1729892208.332173,5.669762,5.836628,0.166867,1,1,131,317,131,317,131,317,131.0,317.0,6280.448,15197.726,79,265,79,265,79,265,79.0,265.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
192.168.2.183,20.238.236.234,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,20.238.236.234,IPV4-TCP,2024-10-25 23:36:49.107847,2024-10-25 23:36:49.116098,1729892209.107847,1729892209.116098,6.612302,6.620553,0.008252,1,1,41,52,41,52,41,52,41.0,52.0,39748.172,50412.316,1,0,1,0,1,0,1.0,0.0,,,128.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,251.0,0.0,0.0,,0.008,,0.008,,0.008251
34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,,,IPV6,2024-10-25 23:36:49.714131,2024-10-25 23:36:50.202750,1729892209.714131,1729892210.20275,7.218586,7.707205,0.48862,41,49,4090,4051,207,113,74,74,99.756,82.673,66964.123,66325.59,3926,3855,203,109,70,70,95.756,78.673,0.012005704641342162,0.010179559389750162,,,,,,,,,,,,,,,,,,,,,,,,
178.79.208.44,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,178.79.208.44,192.168.2.183,IPV4-TCP,2024-10-25 23:36:50.185507,2024-10-25 23:36:50.192281,1729892210.185507,1729892210.192281,7.689962,7.696736,0.006775,3,3,351,374,232,255,40,40,117.0,124.667,414468.085,441626.962,231,254,192,215,0,0,77.0,84.667,0.00030243396759033203,0.003386974334716797,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.667,0.0,0.0,0.0,0.0,194.0,510.667,0.0,0.0,0.006,0.0,0.006,0.0,0.005878,0.000116
108.141.15.7,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,108.141.15.7,192.168.2.183,IPV4-TCP,2024-10-25 23:36:50.206545,2024-10-25 23:36:50.270126,1729892210.206545,1729892210.270126,7.711,7.774581,0.063582,7,6,1921,2843,1500,1480,40,40,274.429,473.833,241703.665,357711.359,1641,2603,1460,1440,0,0,234.429,433.833,0.009339014689127604,0.003056764602661133,51.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,0.286,0.667,0.0,0.0,0.0,0.0,889.571,517.0,0.0,0.0,0.048,0.002,0.007,0.0,0.015435,0.001145
192.168.2.183,192.168.2.25,98:2c:bc:16:7e:16,de:0d:62:55:c1:6d,192.168.2.183,192.168.2.25,IPV4-TCP,2024-10-25 23:36:50.266907,2024-10-25 23:36:50.331056,1729892210.266907,1729892210.331056,7.771362,7.835511,0.06415,2,1,190,150,150,150,40,150,95.0,150.0,23694.414,18706.116,110,110,110,110,0,110,55.0,110.0,0.06414914131164551,,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,510.0,1207.0,0.0,0.0,0.05,0.014,0.05,0.014,0.049702,0.014447
34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,,,IPV6,2024-10-25 23:36:50.299268,2024-10-25 23:36:50.307595,1729892210.299268,1729892210.307595,7.803723,7.81205,0.008328,1,1,74,74,74,74,74,74,74.0,74.0,71085.432,71085.432,70,70,70,70,70,70,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.2.183,54.205.31.73,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,54.205.31.73,IPV4-TCP,2024-10-25 23:36:50.301557,2024-10-25 23:36:50.443966,1729892210.301557,1729892210.443966,7.806012,7.948421,0.14241,6,3,2937,832,940,278,40,277,489.5,277.333,164988.59,46738.341,2697,712,900,238,0,237,449.5,237.333,0.028481769561767577,0.0022194385528564453,128.0,246.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,63248.667,65535.0,0.0,0.0,0.051,0.093,0.046,0.091,0.049116,0.092037
34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,,,IPV6,2024-10-25 23:36:50.840311,2024-10-25 23:36:50.873202,1729892210.840311,1729892210.873202,8.344766,8.377657,0.032892,20,24,2224,1976,273,110,74,74,111.2,82.333,540921.228,480602.674,2144,1880,269,106,70,70,107.2,78.333,0.001502840142501028,0.0014300450034763503,,,,,,,,,,,,,,,,,,,,,,,,
192.168.2.183,54.194.210.74,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,54.194.210.74,IPV4-TCP,2024-10-25 23:36:50.848330,2024-10-25 23:36:51.266723,1729892210.84833,1729892211.266723,8.352785,8.771178,0.418394,5,21,592,24969,346,1500,40,40,118.4,1189.0,11319.477,477425.702,392,24129,306,1460,0,0,78.4,1149.0,0.10459822416305542,0.019702494144439697,128.0,247.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.19,0.0,0.0,0.0,0.0,509.8,425.0,0.0,0.0,0.011,0.296,0.0,0.024,0.003107,0.090812
131.153.151.115,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,131.153.151.115,192.168.2.183,IPV4-TCP,2024-10-25 23:36:51.171456,2024-10-25 23:36:51.309459,1729892211.171456,1729892211.309459,8.675911,8.813914,0.138004,2,5,598,3875,558,1500,40,40,299.0,775.0,34665.694,224631.378,518,3675,518,1460,0,0,259.0,735.0,0.0009369850158691406,0.034500718116760254,51.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,355.5,512.6,0.0,0.0,0.095,0.042,0.094,0.042,0.094939,0.042377
192.168.2.183,37.157.3.20,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,37.157.3.20,IPV4-TCP,2024-10-25 23:36:51.172926,2024-10-25 23:36:51.202825,1729892211.172926,1729892211.202825,8.677381,8.70728,0.0299,5,3,1800,820,1500,688,40,40,360.0,273.333,481603.413,219397.11,1600,700,1460,648,0,0,320.0,233.333,0.007474780082702637,0.0033849477767944336,128.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.667,0.0,0.0,0.0,0.0,508.2,651.0,0.0,0.0,0.0,0.023,0.0,0.023,0.000157,0.022764
192.168.2.183,81.17.55.99,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,81.17.55.99,IPV4-TCP,2024-10-25 23:36:51.297019,2024-10-25 23:36:51.565771,1729892211.297019,1729892211.565771,8.801474,9.070226,0.268753,26,22,11875,5198,1500,1500,40,40,456.731,236.273,353484.297,154729.379,10811,4294,1460,1460,0,0,415.808,195.182,0.010750083923339844,0.009781848816644578,128.0,53.0,0.923,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.077,0.091,0.0,0.0,5413.962,1609.0,0.0,0.0,0.054,0.076,0.0,0.0,0.008231,0.010647
13.227.219.57,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,13.227.219.57,192.168.2.183,IPV4-TCP,2024-10-25 23:36:51.462757,2024-10-25 23:36:51.524961,1729892211.462757,1729892211.524961,8.967212,9.029416,0.062205,21,11,19130,3068,1480,1480,40,40,910.952,278.909,2460256.974,394567.088,18278,2616,1440,1440,0,0,870.381,237.818,0.002796506881713867,0.006220388412475586,248.0,128.0,1.0,0.909,0.0,0.0,0.0,0.0,0.286,0.455,0.048,0.091,0.0,0.0,3254.238,6309.182,0.0,0.0,0.006,0.03,0.0,0.0,0.004317,0.005172
192.168.2.183,54.194.210.74,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,54.194.210.74,IPV4-TCP,2024-10-25 23:36:51.463363,2024-10-25 23:36:51.874496,1729892211.463363,1729892211.874496,8.967818,9.378951,0.411134,7,18,798,10961,195,1500,40,40,114.0,608.944,15527.782,213283.234,518,10241,155,1460,0,0,74.0,568.944,0.06449015935262044,0.02279511620016659,128.0,247.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.5,0.0,0.0,0.0,0.0,511.857,425.0,0.0,0.0,0.112,0.129,0.0,0.02,0.031194,0.04453
34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,,,IPV6,2024-10-25 23:36:51.588469,2024-10-25 23:36:51.871477,1729892211.588469,1729892211.871477,9.092924,9.375932,0.283009,70,84,7592,6949,273,122,74,74,108.457,82.726,214608.122,196432.013,7312,6613,269,118,70,70,104.457,78.726,0.004075492637744848,0.0034097332552254916,,,,,,,,,,,,,,,,,,,,,,,,
192.168.2.183,20.67.120.50,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,20.67.120.50,IPV4-TCP,2024-10-25 23:36:51.637842,2024-10-25 23:36:51.761942,1729892211.637842,1729892211.761942,9.142297,9.266397,0.124101,12,15,4190,10159,1500,1500,40,40,349.167,677.267,270102.643,654886.099,3698,9547,1460,1460,0,0,308.167,636.467,0.006556185809048739,0.008139354842049735,128.0,51.0,0.917,1.0,0.0,0.0,0.0,0.0,0.417,0.533,0.083,0.067,0.0,0.0,5823.5,4341.467,0.0,0.0,0.025,0.052,0.0,0.0,0.005856,0.016518
18.239.94.16,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,18.239.94.16,192.168.2.183,IPV4-TCP,2024-10-25 23:36:51.782081,2024-10-25 23:36:51.867735,1729892211.782081,1729892211.867735,9.286536,9.37219,0.085655,10,10,1249,3367,404,1480,40,40,124.9,336.7,116653.991,314470.768,837,2955,364,1440,0,0,83.7,295.5,0.008462535010443794,0.0038030147552490234,250.0,128.0,1.0,0.9,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.1,0.0,0.0,6678.3,6888.3,0.0,0.0,0.051,0.003,0.001,0.0,0.012525,0.001582
192.168.2.183,54.194.210.74,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,54.194.210.74,IPV4-TCP,2024-10-25 23:36:51.973751,2024-10-25 23:36:52.465034,1729892211.973751,1729892212.465034,9.478206,9.969489,0.491284,17,84,2935,101624,1377,1500,40,40,172.647,1209.81,47793.136,1654831.217,2255,98264,1337,1460,0,0,132.647,1169.81,0.03069344162940979,0.004975419446646449,128.0,247.0,1.0,1.0,0.0,0.0,0.0,0.0,0.412,0.25,0.0,0.0,0.0,0.0,512.412,425.0,0.0,0.0,0.082,0.066,0.0,0.0,0.016586,0.024108
34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,,,IPV6,2024-10-25 23:36:52.279158,2024-10-25 23:36:52.471651,1729892212.279158,1729892212.471651,9.783613,9.976106,0.192494,60,72,5790,5923,273,113,74,74,96.5,82.264,240630.924,246158.371,5550,5635,269,109,70,70,92.5,78.264,0.003220202559131687,0.002711168477233027,,,,,,,,,,,,,,,,,,,,,,,,
129.125.2.64,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,129.125.2.64,192.168.2.183,IPV4-TCP,2024-10-25 23:36:52.358194,2024-10-25 23:36:52.440621,1729892212.358194,1729892212.440621,9.862649,9.945076,0.082428,12,12,6928,5071,1500,1500,40,40,577.333,422.583,672394.618,492164.133,6440,4579,1460,1460,0,0,536.667,381.583,0.00642726638100364,0.006498726931485263,248.0,128.0,1.0,0.917,0.0,0.0,0.083,0.083,0.333,0.25,0.083,0.083,0.0,0.0,6934.75,64189.667,0.0,0.0,0.019,0.01,0.001,0.0,0.010773,0.002031
129.125.2.148,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,129.125.2.148,192.168.2.183,IPV4-TCP,2024-10-25 23:36:52.467745,2024-10-25 23:36:52.727151,1729892212.467745,1729892212.727151,9.9722,10.231606,0.259407,30,24,20710,9387,1500,1500,40,40,690.333,391.125,638687.834,289491.197,19494,8403,1460,1460,0,0,649.8,350.125,0.008617138040476832,0.010872778685196587,248.0,128.0,1.0,0.917,0.0,0.0,0.067,0.083,0.3,0.25,0.067,0.083,0.0,0.0,7063.1,64201.75,0.0,0.0,0.017,0.011,0.0,0.0,0.008952,0.001933
192.168.2.183,54.194.210.74,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,54.194.210.74,IPV4-TCP,2024-10-25 23:36:52.532693,2024-10-25 23:36:52.559266,1729892212.532693,1729892212.559266,10.037148,10.063721,0.026574,1,9,40,9358,40,1500,40,40,40.0,1039.778,12041.763,2817170.53,0,8998,0,1460,0,0,0.0,999.778,,0.0032840073108673096,128.0,247.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,513.0,425.0,0.0,0.0,0.0,,0.0,,0.000301,
13.227.219.57,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,13.227.219.57,192.168.2.183,IPV4-TCP,2024-10-25 23:36:52.635448,2024-10-25 23:36:52.881509,1729892212.635448,1729892212.881509,10.139903,10.385964,0.246062,106,83,107902,8146,1480,174,40,40,1017.943,98.145,3508122.733,264843.727,103662,4826,1440,134,0,0,977.943,58.145,0.0018890948522658575,0.0030007449592032082,248.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.639,0.0,0.0,0.0,0.0,147.0,515.578,0.0,0.0,0.007,0.041,0.0,0.0,0.002855,0.00338
13.227.219.57,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,13.227.219.57,192.168.2.183,IPV4-TCP,2024-10-25 23:36:53.136472,2024-10-25 23:36:53.149595,1729892213.136472,1729892213.149595,10.640927,10.65405,0.013124,4,3,3411,300,1480,130,40,40,852.75,100.0,2079238.52,182870.582,3251,180,1440,90,0,0,812.75,60.0,0.00024199485778808594,0.0065615177154541016,248.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.667,0.0,0.0,0.0,0.0,147.0,514.333,0.0,0.0,0.013,0.0,0.012,0.0,0.012403,0.00016
34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,,,IPV6,2024-10-25 23:36:53.247579,2024-10-25 23:36:53.741714,1729892213.247579,1729892213.741714,10.752034,11.246169,0.494136,60,72,6417,5928,327,119,74,74,106.95,82.333,103890.447,95973.597,6177,5640,323,115,70,70,102.95,78.333,0.008323390605085986,0.006939743606137558,,,,,,,,,,,,,,,,,,,,,,,,
192.168.2.183,204.79.197.203,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,204.79.197.203,IPV4-TCP,2024-10-25 23:36:53.303179,2024-10-25 23:36:53.617808,1729892213.303179,1729892213.617808,10.807634,11.122263,0.31463,19,26,7991,14437,1480,1500,40,40,420.579,555.269,203184.643,367085.057,7207,13373,1440,1460,0,0,379.316,514.346,0.01747939321729872,0.012185602188110352,128.0,120.923,0.895,1.0,0.0,0.0,0.0,0.0,0.421,0.308,0.105,0.077,0.0,0.0,7224.158,20162.577,0.0,0.0,0.062,0.015,0.0,0.001,0.022754,0.010198
18.239.83.98,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,18.239.83.98,192.168.2.183,IPV4-TCP,2024-10-25 23:36:53.577701,2024-10-25 23:36:53.681030,1729892213.577701,1729892213.68103,11.082156,11.185485,0.10333,9,11,1070,3225,287,1480,40,40,118.889,293.182,82841.427,249685.611,698,2773,247,1440,0,0,77.556,252.091,0.011923611164093018,0.010332894325256348,250.0,128.0,1.0,0.909,0.0,0.0,0.0,0.0,0.444,0.455,0.111,0.091,0.0,0.0,7408.222,6308.909,0.0,0.0,0.007,0.019,0.001,0.0,0.005338,0.005421
192.168.2.183,52.168.117.171,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,52.168.117.171,IPV4-TCP,2024-10-25 23:36:53.578359,2024-10-25 23:36:54.041104,1729892213.578359,1729892214.041104,11.082814,11.545559,0.462746,35,16,39640,7340,1480,1500,40,40,1132.571,458.75,685300.078,126894.616,38228,6688,1440,1460,0,0,1092.229,418.0,0.013610152637257296,0.024816004435221355,128.0,113.0,0.971,1.0,0.0,0.0,0.0,0.0,0.257,0.312,0.029,0.062,0.0,0.0,2337.514,19455.312,0.0,0.0,0.051,0.096,0.0,0.0,0.018176,0.040672
13.74.129.1,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,13.74.129.1,192.168.2.183,IPV4-TCP,2024-10-25 23:36:53.578965,2024-10-25 23:36:54.022453,1729892213.578965,1729892214.022453,11.08342,11.526908,0.443489,13,14,7717,7596,1500,1480,40,40,593.615,542.571,139205.219,137022.527,7185,7024,1460,1440,0,0,552.692,501.714,0.03279143571853638,0.03411447084867037,111.0,128.0,1.0,0.929,0.0,0.0,0.0,0.0,0.308,0.357,0.077,0.071,0.0,0.0,6936.154,5068.429,0.0,0.0,0.036,0.195,0.0,0.0,0.02733,0.051478
34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,,,IPV6,2024-10-25 23:36:53.782164,2024-10-25 23:36:54.281690,1729892213.782164,1729892214.28169,11.286619,11.786145,0.499527,152,193,21439,19643,1502,1292,74,74,141.046,101.777,343348.955,314585.733,20831,18871,1498,1288,70,70,137.046,97.777,0.003308117784411702,0.0025178069869677224,,,,,,,,,,,,,,,,,,,,,,,,
192.168.2.183,204.79.197.203,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,204.79.197.203,IPV4-TCP,2024-10-25 23:36:53.812094,2024-10-25 23:36:53.866634,1729892213.812094,1729892213.866634,11.316549,11.371089,0.054541,11,7,9118,832,1480,499,40,40,828.909,118.857,1337417.878,122036.814,8678,552,1440,459,0,0,788.909,78.857,0.0054539918899536135,0.0019573370615641275,128.0,121.0,1.0,1.0,0.0,0.0,0.0,0.0,0.455,0.429,0.0,0.0,0.0,0.0,516.455,16381.143,0.0,0.0,0.032,0.009,0.032,0.001,0.031561,0.006441
192.168.2.183,204.79.197.219,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,204.79.197.219,IPV4-TCP,2024-10-25 23:36:53.923280,2024-10-25 23:36:54.135379,1729892213.92328,1729892214.135379,11.427735,11.639834,0.2121,11,13,1392,5458,372,1500,40,40,126.545,419.846,52503.517,205865.085,928,4914,332,1460,0,0,84.364,378.0,0.021209907531738282,0.016877671082814533,128.0,120.846,0.818,1.0,0.0,0.0,0.0,0.0,0.364,0.385,0.182,0.154,0.0,0.0,12102.818,23944.615,0.0,0.0,0.088,0.017,0.0,0.009,0.026028,0.012249
13.227.219.57,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,13.227.219.57,192.168.2.183,IPV4-TCP,2024-10-25 23:36:54.009866,2024-10-25 23:36:54.108789,1729892214.009866,1729892214.108789,11.514321,11.613244,0.098924,3,4,2875,510,1147,178,852,40,958.333,127.5,232501.794,41243.796,2755,350,1107,138,812,0,918.333,87.5,0.020186424255371094,0.0329743226369222,248.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,153.0,515.25,0.0,0.0,0.015,0.05,0.006,0.001,0.00989,0.023084
129.125.2.112,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,129.125.2.112,192.168.2.183,IPV4-TCP,2024-10-25 23:36:54.063568,2024-10-25 23:36:54.536862,1729892214.063568,1729892214.536862,11.568023,12.041317,0.473295,10,13,6527,10553,1500,1500,40,40,652.7,811.769,110324.479,178375.092,6119,10021,1460,1460,0,0,611.9,770.846,0.05139986673990885,0.03850424289703369,248.0,128.0,1.0,0.923,0.0,0.0,0.0,0.0,0.3,0.308,0.1,0.077,0.0,0.0,7385.5,64240.0,0.0,0.0,0.019,0.293,0.011,0.0,0.013203,0.0681
192.168.2.183,2.16.106.140,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,2.16.106.140,IPV4-UDP,2024-10-25 23:36:54.076433,2024-10-25 23:36:54.567780,1729892214.076433,1729892214.56778,11.580888,12.072235,0.491348,52,62,26266,31220,1278,1278,59,49,505.115,503.548,427656.097,508315.821,23562,27996,1226,1226,7,-3,453.115,451.548,0.009538510266472311,0.00790811366722232,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
13.74.129.1,192.168.2.183,34:5d:9e:4a:f7:c7,98:2c:bc:16:7e:16,13.74.129.1,192.168.2.183,IPV4-TCP,2024-10-25 23:36:54.094101,2024-10-25 23:36:54.094101,1729892214.094101,1729892214.094101,11.598556,11.598556,1e-06,1,0,40,0,40,,40,,40.0,,320000000.0,0.0,0,0,0,,0,,0.0,,,,111.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2052.0,,0.0,,,,,,,
192.168.2.183,2.16.106.140,98:2c:bc:16:7e:16,34:5d:9e:4a:f7:c7,192.168.2.183,2.16.106.140,IPV4-TCP,2024-10-25 23:36:54.096398,2024-10-25 23:36:54.579131,1729892214.096398,1729892214.579131,11.600853,12.083586,0.482734,14,9,4894,1486,1424,327,40,40,349.571,165.111,81104.746,24626.41,4310,1102,1384,287,0,0,307.857,122.444,0.037133290217472956,0.052489012479782104,128.0,57.0,0.857,1.0,0.0,0.0,0.0,0.0,0.286,0.444,0.143,0.222,0.0,0.0,9616.286,14665.222,0.0,0.0,0.264,0.012,0.0,0.008,0.099082,0.009695
