sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:34.078823,2023-03-10 10:29:34.078827,1678440574.078823,1678440574.078827,0.0,4e-06,5e-06,3,0,180,0,60.0,,60.0,,60.0,,299084224.938,0.0,0,0,0.0,,0.0,,0.0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:35.102352,2023-03-10 10:29:35.102356,1678440575.102352,1678440575.102356,1.023529,1.023533,5e-06,3,0,180,0,60.0,,60.0,,60.0,,284972687.001,0.0,0,0,0.0,,0.0,,0.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:36.126358,2023-03-10 10:29:36.126362,1678440576.126358,1678440576.126362,2.047535,2.047539,5e-06,3,0,180,0,60.0,,60.0,,60.0,,284972687.001,0.0,0,0,0.0,,0.0,,0.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:40.222633,2023-03-10 10:29:40.222637,1678440580.222633,1678440580.222637,6.14381,6.143814,5e-06,3,0,180,0,60.0,,60.0,,60.0,,284972687.001,0.0,0,0,0.0,,0.0,,0.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:41.246263,2023-03-10 10:29:41.246267,1678440581.246263,1678440581.246267,7.16744,7.167444,5e-06,3,0,180,0,60.0,,60.0,,60.0,,284972687.001,0.0,0,0,0.0,,0.0,,0.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:42.270108,2023-03-10 10:29:42.270112,1678440582.270108,1678440582.270112,8.191285,8.191289,5e-06,3,0,180,0,60.0,,60.0,,60.0,,284972687.001,0.0,0,0,0.0,,0.0,,0.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:46.366480,2023-03-10 10:29:46.366484,1678440586.36648,1678440586.366484,12.287657,12.287661,5e-06,3,0,180,0,60.0,,60.0,,60.0,,299084224.938,0.0,0,0,0.0,,0.0,,0.0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:47.390155,2023-03-10 10:29:47.390159,1678440587.390155,1678440587.390159,13.311332,13.311336,5e-06,3,0,180,0,60.0,,60.0,,60.0,,299084224.938,0.0,0,0,0.0,,0.0,,0.0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:48.414034,2023-03-10 10:29:48.414038,1678440588.414034,1678440588.414038,14.335211,14.335215,5e-06,3,0,180,0,60.0,,60.0,,60.0,,284972687.001,0.0,0,0,0.0,,0.0,,0.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:52.510535,2023-03-10 10:29:52.510539,1678440592.510535,1678440592.510539,18.431712,18.431716,5e-06,3,0,180,0,60.0,,60.0,,60.0,,284972687.001,0.0,0,0,0.0,,0.0,,0.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
