sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:29:38.073252,2023-03-10 10:29:38.073252,1678440578.073252,1678440578.073252,3.994429,3.994429,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:29:47.943385,2023-03-10 10:29:47.943385,1678440587.943385,1678440587.943385,13.864562,13.864562,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:29:48.914920,2023-03-10 10:29:48.914920,1678440588.91492,1678440588.91492,14.836097,14.836097,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,224.0.0.1,00:07:7c:88:6e:83,01:00:5e:00:00:01,198.18.134.1,224.0.0.1,IPV4-2,2023-03-10 10:29:40.546350,2023-03-10 10:29:40.548696,1678440580.54635,1678440580.548696,6.467527,6.469873,0.002347,4,0,144,0,36.0,,36.0,,36.0,,490831.251,0.0,16,0,4.0,,4.0,,4.0,,0.0007820129394531,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:29:49.848893,2023-03-10 10:29:49.848893,1678440589.848893,1678440589.848893,15.77007,15.77007,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:29:52.999306,2023-03-10 10:29:52.999306,1678440592.999306,1678440592.999306,18.920483,18.920483,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.31,224.0.0.22,b8:27:eb:3e:5d:96,01:00:5e:00:00:16,198.18.134.31,224.0.0.22,IPV4-2,2023-03-10 10:29:48.912746,2023-03-10 10:29:48.912746,1678440588.912746,1678440588.912746,14.833923,14.833923,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:29:57.272633,2023-03-10 10:29:57.272633,1678440597.272633,1678440597.272633,23.19381,23.19381,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,224.0.0.1,00:07:7c:88:6e:83,01:00:5e:00:00:01,198.18.134.1,224.0.0.1,IPV4-2,2023-03-10 10:29:52.546522,2023-03-10 10:29:52.548897,1678440592.546522,1678440592.548897,18.467699,18.470074,0.002376,4,0,144,0,36.0,,36.0,,36.0,,484822.798,0.0,16,0,4.0,,4.0,,4.0,,0.0007917086283365,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:29:59.794570,2023-03-10 10:29:59.794570,1678440599.79457,1678440599.79457,25.715747,25.715747,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:09.446780,2023-03-10 10:30:09.446780,1678440609.44678,1678440609.44678,35.367957,35.367957,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.31,224.0.0.22,b8:27:eb:3e:5d:96,01:00:5e:00:00:16,198.18.134.31,224.0.0.22,IPV4-2,2023-03-10 10:29:59.792571,2023-03-10 10:29:59.792571,1678440599.792571,1678440599.792571,25.713748,25.713748,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:11.864113,2023-03-10 10:30:11.864113,1678440611.864113,1678440611.864113,37.78529,37.78529,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,224.0.0.1,00:07:7c:88:6e:83,01:00:5e:00:00:01,198.18.134.1,224.0.0.1,IPV4-2,2023-03-10 10:30:04.550378,2023-03-10 10:30:04.552676,1678440604.550378,1678440604.552676,30.471555,30.473853,0.002299,4,0,144,0,36.0,,36.0,,36.0,,501113.964,0.0,16,0,4.0,,4.0,,4.0,,0.0007659594217936,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:13.874570,2023-03-10 10:30:13.874570,1678440613.87457,1678440613.87457,39.795747,39.795747,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:16.791990,2023-03-10 10:30:16.791990,1678440616.79199,1678440616.79199,42.713167,42.713167,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.31,224.0.0.22,b8:27:eb:3e:5d:96,01:00:5e:00:00:16,198.18.134.31,224.0.0.22,IPV4-2,2023-03-10 10:30:13.872227,2023-03-10 10:30:13.872227,1678440613.872227,1678440613.872227,39.793404,39.793404,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:21.222579,2023-03-10 10:30:21.222579,1678440621.222579,1678440621.222579,47.143756,47.143756,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
198.18.134.1,224.0.0.1,00:07:7c:88:6e:83,01:00:5e:00:00:01,198.18.134.1,224.0.0.1,IPV4-2,2023-03-10 10:30:16.551087,2023-03-10 10:30:16.553395,1678440616.551087,1678440616.553395,42.472264,42.474572,0.002309,4,0,144,0,36.0,,36.0,,36.0,,498889.135,0.0,16,0,4.0,,4.0,,4.0,,0.0007693767547607,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:24.114125,2023-03-10 10:30:24.114125,1678440624.114125,1678440624.114125,50.035302,50.035302,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:30.103947,2023-03-10 10:30:30.103947,1678440630.103947,1678440630.103947,56.025124,56.025124,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
198.18.134.31,224.0.0.22,b8:27:eb:3e:5d:96,01:00:5e:00:00:16,198.18.134.31,224.0.0.22,IPV4-2,2023-03-10 10:30:24.112118,2023-03-10 10:30:24.112118,1678440624.112118,1678440624.112118,50.033295,50.033295,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
198.18.134.6,224.0.0.22,00:07:7c:8c:43:63,01:00:5e:00:00:16,198.18.134.6,224.0.0.22,IPV4-2,2023-03-10 10:30:34.022465,2023-03-10 10:30:34.022465,1678440634.022465,1678440634.022465,59.943642,59.943642,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
