sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:29:39.613544,2023-03-10 10:29:39.613775,1678440579.613544,1678440579.613775,5.534721,5.534952,0.000232,4,0,448,0,112.0,,112.0,,112.0,,15446438.059,0.0,336,0,84.0,,84.0,,84.0,,7.700920104980469e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:29:44.618706,2023-03-10 10:29:44.619059,1678440584.618706,1678440584.619059,10.539883,10.540236,0.000354,4,0,448,0,112.0,,112.0,,112.0,,10121494.201,0.0,336,0,84.0,,84.0,,84.0,,0.0001176993052164,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:29:47.621986,2023-03-10 10:29:47.622172,1678440587.621986,1678440587.622172,13.543163,13.543349,0.000187,4,0,448,0,112.0,,112.0,,112.0,,19144796.975,0.0,336,0,84.0,,84.0,,84.0,,6.206830342610677e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:29:53.630454,2023-03-10 10:29:53.630662,1678440593.630454,1678440593.630662,19.551631,19.551839,0.000209,4,0,380,0,95.0,,95.0,,95.0,,14552347.695,0.0,268,0,67.0,,67.0,,67.0,,6.930033365885417e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:29:58.635832,2023-03-10 10:29:58.636006,1678440598.635832,1678440598.636006,24.557009,24.557183,0.000175,4,0,380,0,95.0,,95.0,,95.0,,17366906.949,0.0,268,0,67.0,,67.0,,67.0,,5.801518758138021e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:30:01.639295,2023-03-10 10:30:01.639431,1678440601.639295,1678440601.639431,27.560472,27.560608,0.000137,4,0,380,0,95.0,,95.0,,95.0,,22206218.472,0.0,268,0,67.0,,67.0,,67.0,,4.529953002929688e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:30:07.645292,2023-03-10 10:30:07.645528,1678440607.645292,1678440607.645528,33.566469,33.566705,0.000237,4,0,380,0,95.0,,95.0,,95.0,,12825143.042,0.0,268,0,67.0,,67.0,,67.0,,7.867813110351562e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:30:12.646465,2023-03-10 10:30:12.646810,1678440612.646465,1678440612.64681,38.567642,38.567987,0.000346,4,0,380,0,95.0,,95.0,,95.0,,8786338.345,0.0,268,0,67.0,,67.0,,67.0,,0.0001149972279866,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:30:15.649804,2023-03-10 10:30:15.650027,1678440615.649804,1678440615.650027,41.570981,41.571204,0.000224,4,0,380,0,95.0,,95.0,,95.0,,13576194.091,0.0,268,0,67.0,,67.0,,67.0,,7.430712381998698e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.1,198.18.134.31,00:07:7c:88:6e:83,b8:27:eb:3e:5d:96,198.18.134.1,198.18.134.31,IPV4-ICMP,2023-03-10 10:30:21.652878,2023-03-10 10:30:21.653097,1678440621.652878,1678440621.653097,47.574055,47.574274,0.00022,4,0,448,0,112.0,,112.0,,112.0,,16300670.554,0.0,336,0,84.0,,84.0,,84.0,,7.295608520507812e-05,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
