sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
198.18.134.6,198.18.134.99,00:07:7c:8c:43:63,00:24:9b:6d:b8:89,198.18.134.6,198.18.134.99,IPV4-UDP,2023-03-10 10:29:43.353598,2023-03-10 10:29:43.353598,1678440583.353598,1678440583.353598,9.274775,9.274775,1e-06,0,1,0,36,,36.0,,36.0,,36.0,0.0,288000000.0,0,8,,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,Normal,0,Normal
0.0.0.0,255.255.255.255,b8:27:eb:d1:b7:ef,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:30:11.581358,2023-03-10 10:30:11.581362,1678440611.581358,1678440611.581362,37.502535,37.502539,5e-06,3,0,984,0,328.0,,328.0,,328.0,,1557850688.94,0.0,900,0,300.0,,300.0,,300.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
0.0.0.0,255.255.255.255,b8:27:eb:5b:50:19,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:30:25.204705,2023-03-10 10:30:25.204707,1678440625.204705,1678440625.204707,51.125882,51.125884,3e-06,3,0,984,0,328.0,,328.0,,328.0,,2707621614.813,0.0,900,0,300.0,,300.0,,300.0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
0.0.0.0,255.255.255.255,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:30:26.113883,2023-03-10 10:30:26.113888,1678440626.113883,1678440626.113888,52.03506,52.035065,6e-06,3,0,984,0,328.0,,328.0,,328.0,,1310516896.518,0.0,900,0,300.0,,300.0,,300.0,,2.5033950805664062e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
0.0.0.0,255.255.255.255,b8:27:eb:6d:4f:4b,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:30:28.837982,2023-03-10 10:30:28.837984,1678440628.837982,1678440628.837984,54.759159,54.759161,3e-06,3,0,984,0,328.0,,328.0,,328.0,,2502410213.377,0.0,900,0,300.0,,300.0,,300.0,,1.0728836059570312e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MITM,0,Normal
0.0.0.0,255.255.255.255,b8:27:eb:d1:b7:ef,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:31:16.053134,2023-03-10 10:31:16.053139,1678440676.053134,1678440676.053139,101.974311,101.974316,6e-06,3,0,984,0,328.0,,328.0,,328.0,,1310516896.518,0.0,900,0,300.0,,300.0,,300.0,,2.5033950805664062e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
0.0.0.0,255.255.255.255,b8:27:eb:5b:50:19,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:31:28.978977,2023-03-10 10:31:28.978979,1678440688.978977,1678440688.978979,114.900154,114.900156,3e-06,3,0,984,0,328.0,,328.0,,328.0,,2502410213.377,0.0,900,0,300.0,,300.0,,300.0,,1.0728836059570312e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MISCONF-DUPLICATION,1,BAD-MISCONF-DUPLICATION
0.0.0.0,255.255.255.255,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:31:30.622880,2023-03-10 10:31:30.622884,1678440690.62288,1678440690.622884,116.544057,116.544061,5e-06,3,0,984,0,328.0,,328.0,,328.0,,1557850688.94,0.0,900,0,300.0,,300.0,,300.0,,2.026557922363281e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MISCONF-DUPLICATION,1,BAD-MISCONF-DUPLICATION
0.0.0.0,255.255.255.255,b8:27:eb:6d:4f:4b,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:31:32.059083,2023-03-10 10:31:32.059084,1678440692.059083,1678440692.059084,117.98026,117.980261,2e-06,3,0,984,0,328.0,,328.0,,328.0,,4029330750.726,0.0,900,0,300.0,,300.0,,300.0,,4.76837158203125e-07,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-MISCONF-DUPLICATION,1,BAD-MISCONF-DUPLICATION
0.0.0.0,255.255.255.255,b8:27:eb:d1:b7:ef,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2023-03-10 10:32:19.097392,2023-03-10 10:32:19.097395,1678440739.097392,1678440739.097395,165.018569,165.018572,4e-06,3,0,984,0,328.0,,328.0,,328.0,,2038837920.296,0.0,900,0,300.0,,300.0,,300.0,,1.430511474609375e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,BAD-SSH,0,Normal
